sample_id,Checkm.Completeness.check,Checkm.Contamination.check,Quast.# contigs (>= 0 bp).check,Quast.GC (%).check,Quast.N50.check,Quast.Total length (>= 0 bp).check,Checkm.# contigs,Checkm.Completeness,Checkm.Contamination,Checkm.GC,Checkm.Genome size (bp),Checkm.N50 (scaffolds),Checkm.Total_Coding_Sequences,Checkm.all_checks_passed,Quast.# contigs (>= 0 bp),Quast.GC (%),Quast.Largest contig,Quast.N50,Quast.Total length,Quast.Total length (>= 0 bp),Quast.all_checks_passed,Speciator.all_checks_passed,Speciator.confidence,Speciator.speciesName,Sylph.all_checks_passed,Sylph.number_of_genomes,Sylph.top_species,Sylph.top_taxonomic_abundance,all_checks_passed,qualibact_compat_tier,qualibact_compat_passed,qualibact_compat_reasons,qualibact_compat_warn_policy,qualibact_compat_source,qualibact_compat_metrics_evaluated,qualibact_compat_metrics_missing,overall_qc,species,species_confidence,reason_summary
SAMN42766885,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,184.0,100.0,0.21,50.4198,5043262.0,120461.0,4844.0,PASSED,184.0,50.4198,684542.0,120461.0,5043262.0,5043262.0,PASSED,PASSED,good,Escherichia coli,PASSED,1,Escherichia coli,0.95,PASSED,PASS,PASSED,none,warn-as-warn,Pinned QualiBact scheme for Escherichia coli,8,0,PASS,Escherichia coli,good,none
SAMN42766886,PASSED,PASSED,PASSED,PASSED,PASSED,PASSED,159.0,100.0,0.5,50.6951,5269811.0,172285.0,5050.0,PASSED,159.0,50.6951,578018.0,172285.0,5269811.0,5269811.0,PASSED,PASSED,good,Escherichia coli,PASSED,1,Escherichia coli,0.95,PASSED,PASS,PASSED,none,warn-as-warn,Pinned QualiBact scheme for Escherichia coli,8,0,PASS,Escherichia coli,good,none
