species,assembly_type,software,field,operator,value,severity,source,special_field
Bordetella pertussis,all,Quast,GC (%),>=,67.72,warn,qualibact-v1.0,
Bordetella pertussis,all,Quast,Ns per 100 kbp,<=,1000,fail,custom,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),<=,4400000,fail,qualibact-v1.0,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),<=,3900000,warn,qualibact-v1.0,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),>=,3700000,fail,qualibact-v1.0,
Bordetella pertussis,all,Quast,Total length (>= 0 bp),>=,3800000,warn,qualibact-v1.0,
Bordetella pertussis,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Bordetella pertussis,all,Speciator,genusName,regex,^Bordetella,fail,qualibact-v1.0,
Bordetella pertussis,all,Speciator,speciesName,regex,^Bordetella pertussis,fail,qualibact-v1.0,species_field
Bordetella pertussis,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Bordetella pertussis,all,Sylph,species_name,regex,^Bordetella pertussis,fail,qualibact-v1.0,species_field
Bordetella pertussis,short,Ariba,percent,=,100,fail,custom,
Bordetella pertussis,short,Checkm,# contigs,<=,530,fail,qualibact-v1.0,
Bordetella pertussis,short,Checkm,# contigs,<=,410,warn,qualibact-v1.0,
Bordetella pertussis,short,Checkm,N50 (scaffolds),>=,12000,fail,qualibact-v1.0,
Bordetella pertussis,short,Checkm,N50 (scaffolds),>=,15000,warn,qualibact-v1.0,
Bordetella pertussis,short,Quast,# contigs (>= 0 bp),<=,530,fail,qualibact-v1.0,
Bordetella pertussis,short,Quast,# contigs (>= 0 bp),<=,410,warn,qualibact-v1.0,
Bordetella pertussis,short,Quast,N50,>=,12000,fail,qualibact-v1.0,
Bordetella pertussis,short,Quast,N50,>=,15000,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Completeness,>=,95,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Completeness,>=,96,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Contamination,<=,2,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,GC,<=,28.3,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,GC,<=,28.13,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,GC,>=,27.59,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,GC,>=,27.66,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Genome size (bp),<=,1500000,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Genome size (bp),<=,1500000,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Genome size (bp),>=,900000,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Genome size (bp),>=,1200000,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Total_Coding_Sequences,<=,1700,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Total_Coding_Sequences,<=,1700,warn,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Total_Coding_Sequences,>=,800,fail,qualibact-v1.0,
Borreliella afzelii,all,Checkm,Total_Coding_Sequences,>=,1300,warn,qualibact-v1.0,
Borreliella afzelii,all,Quast,GC (%),<=,28.3,fail,qualibact-v1.0,
Borreliella afzelii,all,Quast,GC (%),<=,28.13,warn,qualibact-v1.0,
Borreliella afzelii,all,Quast,GC (%),>=,27.59,fail,qualibact-v1.0,
Borreliella afzelii,all,Quast,GC (%),>=,27.66,warn,qualibact-v1.0,
Borreliella afzelii,all,Quast,Total length (>= 0 bp),<=,1500000,fail,qualibact-v1.0,
Borreliella afzelii,all,Quast,Total length (>= 0 bp),<=,1500000,warn,qualibact-v1.0,
Borreliella afzelii,all,Quast,Total length (>= 0 bp),>=,900000,fail,qualibact-v1.0,
Borreliella afzelii,all,Quast,Total length (>= 0 bp),>=,1200000,warn,qualibact-v1.0,
Borreliella afzelii,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Borreliella afzelii,all,Speciator,genusName,regex,^Borreliella,fail,qualibact-v1.0,
Borreliella afzelii,all,Speciator,speciesName,regex,^Borreliella afzelii,fail,qualibact-v1.0,species_field
Borreliella afzelii,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Borreliella afzelii,all,Sylph,species_name,regex,^Borreliella afzelii,fail,qualibact-v1.0,species_field
Borreliella afzelii,short,Checkm,# contigs,<=,430,fail,qualibact-v1.0,
Borreliella afzelii,short,Checkm,# contigs,<=,410,warn,qualibact-v1.0,
Borreliella afzelii,short,Checkm,N50 (scaffolds),>=,15000,fail,qualibact-v1.0,
Borreliella afzelii,short,Checkm,N50 (scaffolds),>=,19000,warn,qualibact-v1.0,
Borreliella afzelii,short,Quast,# contigs (>= 0 bp),<=,430,fail,qualibact-v1.0,
Borreliella afzelii,short,Quast,# contigs (>= 0 bp),<=,410,warn,qualibact-v1.0,
Borreliella afzelii,short,Quast,N50,>=,15000,fail,qualibact-v1.0,
Borreliella afzelii,short,Quast,N50,>=,19000,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Completeness,>=,88,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Completeness,>=,93,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Contamination,<=,9,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Contamination,<=,2,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,GC,<=,31.06,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,GC,<=,30.08,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,GC,>=,27.93,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,GC,>=,27.96,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Genome size (bp),<=,1600000,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Genome size (bp),<=,1500000,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Genome size (bp),>=,900000,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Genome size (bp),>=,1100000,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Total_Coding_Sequences,<=,1900,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Total_Coding_Sequences,<=,1800,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Total_Coding_Sequences,>=,800,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Checkm,Total_Coding_Sequences,>=,1200,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,GC (%),<=,31.06,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,GC (%),<=,30.08,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,GC (%),>=,27.93,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,GC (%),>=,27.96,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,Total length (>= 0 bp),<=,1600000,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,Total length (>= 0 bp),<=,1500000,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,Total length (>= 0 bp),>=,900000,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Quast,Total length (>= 0 bp),>=,1100000,warn,qualibact-v1.0,
Borreliella burgdorferi,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Speciator,genusName,regex,^Borreliella,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Speciator,speciesName,regex,^Borreliella burgdorferi,fail,qualibact-v1.0,species_field
Borreliella burgdorferi,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Borreliella burgdorferi,all,Sylph,species_name,regex,^Borreliella burgdorferi,fail,qualibact-v1.0,species_field
Borreliella burgdorferi,short,Checkm,# contigs,<=,750,fail,qualibact-v1.0,
Borreliella burgdorferi,short,Checkm,# contigs,<=,590,warn,qualibact-v1.0,
Borreliella burgdorferi,short,Checkm,N50 (scaffolds),>=,3000,fail,qualibact-v1.0,
Borreliella burgdorferi,short,Checkm,N50 (scaffolds),>=,6000,warn,qualibact-v1.0,
Borreliella burgdorferi,short,Quast,# contigs (>= 0 bp),<=,750,fail,qualibact-v1.0,
Borreliella burgdorferi,short,Quast,# contigs (>= 0 bp),<=,590,warn,qualibact-v1.0,
Borreliella burgdorferi,short,Quast,N50,>=,3000,fail,qualibact-v1.0,
Borreliella burgdorferi,short,Quast,N50,>=,6000,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,Completeness,>=,93,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,Completeness,>=,94,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,Contamination,<=,3,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,GC,<=,28.56,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,GC,<=,28.26,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,GC,>=,27.57,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,GC,>=,27.59,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,Genome size (bp),<=,1500000,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,Genome size (bp),<=,1500000,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,Genome size (bp),>=,900000,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,Genome size (bp),>=,1100000,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,Total_Coding_Sequences,<=,1800,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,Total_Coding_Sequences,<=,1700,warn,qualibact-v1.0,
Borreliella garinii,all,Checkm,Total_Coding_Sequences,>=,800,fail,qualibact-v1.0,
Borreliella garinii,all,Checkm,Total_Coding_Sequences,>=,1000,warn,qualibact-v1.0,
Borreliella garinii,all,Quast,GC (%),<=,28.56,fail,qualibact-v1.0,
Borreliella garinii,all,Quast,GC (%),<=,28.26,warn,qualibact-v1.0,
Borreliella garinii,all,Quast,GC (%),>=,27.57,fail,qualibact-v1.0,
Borreliella garinii,all,Quast,GC (%),>=,27.59,warn,qualibact-v1.0,
Borreliella garinii,all,Quast,Total length (>= 0 bp),<=,1500000,fail,qualibact-v1.0,
Borreliella garinii,all,Quast,Total length (>= 0 bp),<=,1500000,warn,qualibact-v1.0,
Borreliella garinii,all,Quast,Total length (>= 0 bp),>=,900000,fail,qualibact-v1.0,
Borreliella garinii,all,Quast,Total length (>= 0 bp),>=,1100000,warn,qualibact-v1.0,
Borreliella garinii,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Borreliella garinii,all,Speciator,genusName,regex,^Borreliella,fail,qualibact-v1.0,
Borreliella garinii,all,Speciator,speciesName,regex,^Borreliella garinii,fail,qualibact-v1.0,species_field
Borreliella garinii,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Borreliella garinii,all,Sylph,species_name,regex,^Borreliella garinii,fail,qualibact-v1.0,species_field
Borreliella garinii,short,Checkm,# contigs,<=,450,fail,qualibact-v1.0,
Borreliella garinii,short,Checkm,# contigs,<=,310,warn,qualibact-v1.0,
Borreliella garinii,short,Checkm,N50 (scaffolds),>=,12000,fail,qualibact-v1.0,
Borreliella garinii,short,Checkm,N50 (scaffolds),>=,25000,warn,qualibact-v1.0,
Borreliella garinii,short,Quast,# contigs (>= 0 bp),<=,450,fail,qualibact-v1.0,
Borreliella garinii,short,Quast,# contigs (>= 0 bp),<=,310,warn,qualibact-v1.0,
Borreliella garinii,short,Quast,N50,>=,12000,fail,qualibact-v1.0,
Borreliella garinii,short,Quast,N50,>=,25000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Completeness,>=,93,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Completeness,>=,100,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,GC,<=,27.41,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,GC,<=,27.25,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,GC,>=,26.98,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,GC,>=,26.99,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Genome size (bp),<=,3300000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Genome size (bp),<=,3200000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Genome size (bp),>=,2900000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Genome size (bp),>=,3000000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Total_Coding_Sequences,<=,3000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Total_Coding_Sequences,<=,3000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Total_Coding_Sequences,>=,2500,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Checkm,Total_Coding_Sequences,>=,2500,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,GC (%),<=,27.41,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,GC (%),<=,27.25,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,GC (%),>=,26.98,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,GC (%),>=,26.99,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,Total length (>= 0 bp),<=,3300000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,Total length (>= 0 bp),<=,3200000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,Total length (>= 0 bp),>=,2900000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Quast,Total length (>= 0 bp),>=,3000000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Speciator,genusName,regex,^Brachyspira,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Speciator,speciesName,regex,^Brachyspira hyodysenteriae,fail,qualibact-v1.0,species_field
Brachyspira hyodysenteriae,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,all,Sylph,species_name,regex,^Brachyspira hyodysenteriae,fail,qualibact-v1.0,species_field
Brachyspira hyodysenteriae,short,Checkm,# contigs,<=,460,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Checkm,# contigs,<=,390,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Checkm,N50 (scaffolds),>=,11000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Checkm,N50 (scaffolds),>=,15000,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Quast,# contigs (>= 0 bp),<=,460,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Quast,# contigs (>= 0 bp),<=,390,warn,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Quast,N50,>=,11000,fail,qualibact-v1.0,
Brachyspira hyodysenteriae,short,Quast,N50,>=,15000,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Completeness,>=,97,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Completeness,>=,100,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Contamination,<=,2,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,GC,<=,64.17,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,GC,<=,64.15,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,GC,>=,63.36,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,GC,>=,63.88,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Genome size (bp),<=,9800000,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Genome size (bp),<=,9300000,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Genome size (bp),>=,7100000,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Genome size (bp),>=,7100000,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Total_Coding_Sequences,<=,9400,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Total_Coding_Sequences,<=,8800,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Total_Coding_Sequences,>=,6600,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Checkm,Total_Coding_Sequences,>=,6600,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,GC (%),<=,64.17,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,GC (%),<=,64.15,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,GC (%),>=,63.36,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,GC (%),>=,63.88,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,Total length (>= 0 bp),<=,9800000,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,Total length (>= 0 bp),<=,9300000,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,Total length (>= 0 bp),>=,7100000,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Quast,Total length (>= 0 bp),>=,7100000,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Speciator,genusName,regex,^Bradyrhizobium,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Speciator,speciesName,regex,^Bradyrhizobium diazoefficiens,fail,qualibact-v1.0,species_field
Bradyrhizobium diazoefficiens,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,all,Sylph,species_name,regex,^Bradyrhizobium diazoefficiens,fail,qualibact-v1.0,species_field
Bradyrhizobium diazoefficiens,short,Checkm,# contigs,<=,370,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Checkm,# contigs,<=,320,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Checkm,N50 (scaffolds),>=,55000,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Checkm,N50 (scaffolds),>=,73000,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Quast,# contigs (>= 0 bp),<=,370,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Quast,# contigs (>= 0 bp),<=,320,warn,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Quast,N50,>=,55000,fail,qualibact-v1.0,
Bradyrhizobium diazoefficiens,short,Quast,N50,>=,73000,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,Completeness,>=,95,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,Completeness,>=,99,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,Contamination,<=,1,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,Contamination,<=,1,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,GC,<=,57.29,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,GC,<=,57.28,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,GC,>=,57.21,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,GC,>=,57.22,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,Genome size (bp),<=,3400000,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,Genome size (bp),<=,3400000,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,Genome size (bp),>=,3200000,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,Genome size (bp),>=,3200000,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,Total_Coding_Sequences,<=,3300,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,Total_Coding_Sequences,<=,3200,warn,qualibact-v1.0,
Brucella melitensis,all,Checkm,Total_Coding_Sequences,>=,3000,fail,qualibact-v1.0,
Brucella melitensis,all,Checkm,Total_Coding_Sequences,>=,3000,warn,qualibact-v1.0,
Brucella melitensis,all,Quast,GC (%),<=,57.29,fail,qualibact-v1.0,
Brucella melitensis,all,Quast,GC (%),<=,57.28,warn,qualibact-v1.0,
Brucella melitensis,all,Quast,GC (%),>=,57.21,fail,qualibact-v1.0,
Brucella melitensis,all,Quast,GC (%),>=,57.22,warn,qualibact-v1.0,
Brucella melitensis,all,Quast,Ns per 100 kbp,<=,1000,fail,custom,
Brucella melitensis,all,Quast,Total length (>= 0 bp),<=,3400000,fail,qualibact-v1.0,
Brucella melitensis,all,Quast,Total length (>= 0 bp),<=,3400000,warn,qualibact-v1.0,
Brucella melitensis,all,Quast,Total length (>= 0 bp),>=,3200000,fail,qualibact-v1.0,
Brucella melitensis,all,Quast,Total length (>= 0 bp),>=,3200000,warn,qualibact-v1.0,
Brucella melitensis,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Brucella melitensis,all,Speciator,genusName,regex,^Brucella,fail,qualibact-v1.0,
Brucella melitensis,all,Speciator,speciesName,regex,^Brucella melitensis,fail,qualibact-v1.0,species_field
Brucella melitensis,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Brucella melitensis,all,Sylph,species_name,regex,^Brucella melitensis,fail,qualibact-v1.0,species_field
Brucella melitensis,short,Ariba,percent,=,100,fail,custom,
Brucella melitensis,short,Checkm,# contigs,<=,80,fail,qualibact-v1.0,
Brucella melitensis,short,Checkm,# contigs,<=,70,warn,qualibact-v1.0,
Brucella melitensis,short,Checkm,N50 (scaffolds),>=,83000,fail,qualibact-v1.0,
Brucella melitensis,short,Checkm,N50 (scaffolds),>=,122000,warn,qualibact-v1.0,
Brucella melitensis,short,Quast,# contigs (>= 0 bp),<=,80,fail,qualibact-v1.0,
Brucella melitensis,short,Quast,# contigs (>= 0 bp),<=,70,warn,qualibact-v1.0,
Brucella melitensis,short,Quast,N50,>=,83000,fail,qualibact-v1.0,
Brucella melitensis,short,Quast,N50,>=,122000,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Completeness,>=,92,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Completeness,>=,100,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Contamination,<=,5,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Contamination,<=,3,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,GC,<=,67.55,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,GC,<=,67.49,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,GC,>=,66.38,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,GC,>=,66.62,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Genome size (bp),<=,8800000,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Genome size (bp),<=,8400000,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Genome size (bp),>=,6600000,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Genome size (bp),>=,7400000,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Total_Coding_Sequences,<=,8200,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Total_Coding_Sequences,<=,7800,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Total_Coding_Sequences,>=,6100,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Checkm,Total_Coding_Sequences,>=,6600,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,GC (%),<=,67.55,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,GC (%),<=,67.49,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,GC (%),>=,66.38,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,GC (%),>=,66.62,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,Total length (>= 0 bp),<=,8800000,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,Total length (>= 0 bp),<=,8400000,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,Total length (>= 0 bp),>=,6600000,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Quast,Total length (>= 0 bp),>=,7400000,warn,qualibact-v1.0,
Burkholderia cenocepacia,all,Speciator,confidence,regex,^good$,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Speciator,genusName,regex,^Burkholderia,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Speciator,speciesName,regex,^Burkholderia cenocepacia,fail,qualibact-v1.0,species_field
Burkholderia cenocepacia,all,Sylph,number_of_genomes,=,1,fail,qualibact-v1.0,
Burkholderia cenocepacia,all,Sylph,species_name,regex,^Burkholderia cenocepacia,fail,qualibact-v1.0,species_field
Burkholderia cenocepacia,short,Checkm,# contigs,<=,730,fail,qualibact-v1.0,
Burkholderia cenocepacia,short,Checkm,# contigs,<=,550,warn,qualibact-v1.0,
Burkholderia cenocepacia,short,Checkm,N50 (scaffolds),>=,23000,fail,qualibact-v1.0,
Burkholderia cenocepacia,short,Checkm,N50 (scaffolds),>=,33000,warn,qualibact-v1.0,
Burkholderia cenocepacia,short,Quast,# contigs (>= 0 bp),<=,730,fail,qualibact-v1.0,
Burkholderia cenocepacia,short,Quast,# contigs (>= 0 bp),<=,550,warn,qualibact-v1.0,
Burkholderia cenocepacia,short,Quast,N50,>=,23000,fail,qualibact-v1.0,
Burkholderia cenocepacia,short,Quast,N50,>=,33000,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Completeness,>=,94,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Completeness,>=,100,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Contamination,<=,5,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Contamination,<=,2,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,GC,<=,67.03,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,GC,<=,66.96,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,GC,>=,65.86,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,GC,>=,65.91,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Genome size (bp),<=,9500000,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Genome size (bp),<=,9400000,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Genome size (bp),>=,6400000,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Genome size (bp),>=,7300000,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Total_Coding_Sequences,<=,8800,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Total_Coding_Sequences,<=,8700,warn,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Total_Coding_Sequences,>=,5900,fail,qualibact-v1.0,
Burkholderia cepacia,all,Checkm,Total_Coding_Sequences,>=,6600,warn,qualibact-v1.0,
Burkholderia cepacia,all,Quast,GC (%),<=,67.03,fail,qualibact-v1.0,
Burkholderia cepacia,all,Quast,GC (%),<=,66.96,warn,qualibact-v1.0,
